mat_id;guit_id;cantidad
4;1;1
12;1;1
24;1;1
29;1;1
5;2;1
13;2;1
23;2;1
29;2;1
6;3;1
17;3;1
26;3;1
30;3;1
7;4;1
16;4;1
26;4;1
30;4;1
9;5;1
14;5;1
22;5;1
34;5;1
11;6;1
15;6;1
22;6;1
34;6;1
8;7;1
18;7;1
21;7;1
36;7;1
8;8;1
19;8;1
25;8;1
36;8;1
8;9;1
18;9;1
21;9;1
36;9;1
8;10;1
20;10;1
25;10;1
37;10;1
1;11;1
28;11;1
31;11;1
1;12;1
28;12;1
31;12;1
1;13;1
28;13;1
35;13;1
2;14;1
27;14;1
32;14;1
3;15;1
27;15;1
33;15;1
3;16;1
28;16;1
35;16;1
1;17;1
28;17;1
31;17;1
2;18;1
28;18;1
31;18;1
3;19;1
21;19;1
35;19;1
3;20;1
21;20;1
33;20;1
